endTime,artistName,trackName,msPlayed
2022-03-25 15:37,Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,9583
2022-03-25 15:37,Andy Grammer,Keep Your Head Up,189933
2022-03-25 15:40,Current Joys,New Flesh,167986
2022-03-25 15:43,Saint Motel,My Type,204811
2022-03-25 15:47,KAYTRANADA,YOU'RE THE ONE,227706
2022-03-25 15:51,PUBLIC,Pretty Face,230786
2022-03-25 16:25,Bazzi,Paradise,169038
2022-03-25 16:29,Khalid,8TEEN,228600
2022-03-25 16:32,The Monkees,I'm a Believer,165613
2022-03-25 16:36,Cage The Elephant,Cigarette Daydreams,208760
2022-03-25 16:40,Rascal Flatts,Life is a Highway,276320
2022-03-25 16:49,Harry Styles,"Sunflower, Vol. 6",164478
2022-03-25 16:50,The Neighbourhood,Stargazing,6520
2022-03-25 16:50,Passion Pit,Take a Walk,6640
2022-03-25 16:50,Thundercat,Funny Thing,74710
2022-03-25 16:53,Dayglow,Hot Rod,204014
2022-03-25 16:54,Daisy the Great,Record Player (with AJR),10845
2022-03-25 16:59,Mt. Joy,Bug Eyes,303826
2022-03-25 17:53,MGMT,In The Afternoon,226253
2022-03-25 17:57,Michigander,Let Down,176462
2022-03-25 18:00,A Great Big World,Where Does the Time Go,167242
2022-03-25 18:02,The Beaches,Let's Go,142760
2022-03-25 18:06,Grouplove,Tongue Tied,218013
2022-03-25 18:09,Edward Sharpe & The Magnetic Zeros,Man On Fire,160406
2022-03-25 18:12,The Head And The Heart,Missed Connection,195312
2022-03-25 18:16,Local Natives,I Saw You Close Your Eyes,216840
2022-03-25 18:20,Passion Pit,Take a Walk,264493
2022-03-25 18:25,Peter Bjorn and John,Young Folks,276693
2022-03-25 18:29,Father John Misty,Nancy From Now On,47684
2022-03-25 18:29,Young the Giant,Call Me Back,237746
2022-03-25 19:00,Edward Sharpe & The Magnetic Zeros,Man On Fire,246228
2022-03-25 19:05,The Head And The Heart,Rivers and Roads,284000
2022-03-25 20:09,Of Monsters and Men,Empire,26006
2022-03-25 20:31,Of Monsters and Men,Empire,234667
2022-03-25 20:35,The Lumineers,Cleopatra,201413
2022-03-25 20:37,Father John Misty,Chateau Lobby #4 (in C for Two Virgins),170826
2022-03-25 20:41,Trampled by Turtles,Where Is My Mind?,210628
2022-03-25 20:45,Grouplove,Tongue Tied,218013
2022-03-25 20:49,Dr. Dog,That Old Black Hole,21291
2022-03-25 20:49,Florence + The Machine,Dog Days Are Over,251840
2022-03-25 21:06,Dr. Dog,That Old Black Hole,17856
2022-03-25 21:06,Dire Straits,Sultans of Swing,128
2022-03-25 21:13,Nirvana,Smells Like Teen Spirit,301920
2022-03-25 21:15,The Doors,Break on Through (To the Other Side),145866
2022-03-25 21:20,Queens of the Stone Age,No One Knows,278706
2022-03-25 21:26,Rush,Red Barchetta,370426
2022-03-25 21:31,Aerosmith,Dude (Looks Like A Lady),265773
2022-03-25 21:36,U2,With Or Without You - Remastered,295515
2022-03-25 21:38,The Beatles,Back In The U.S.S.R. - Remastered 2009,163453
2022-03-25 21:42,The White Stripes,Seven Nation Army,232106
2022-03-25 21:47,Heart,Barracuda,261933
2022-03-25 21:53,Eagles,Hotel California - 2013 Remaster,391376
2022-03-25 22:00,Rush,The Spirit Of Radio,296466
2022-03-25 22:03,Allman Brothers Band,Midnight Rider,180066
2022-03-25 22:07,Jimi Hendrix,Hey Joe,210160
2022-03-25 22:13,Kansas,Carry on Wayward Son,323000
2022-03-25 22:16,Alice Cooper,School's Out,210106
2022-03-25 22:19,Jimi Hendrix,Purple Haze,170813
2022-03-25 22:23,Tom Petty,Free Fallin',256000
2022-03-25 22:30,David Bowie,Heroes - 2017 Remaster,364326
2022-03-26 17:14,David Bowie,Heroes - 2017 Remaster,4411
2022-03-26 17:17,Cosmo's Midnight,Down for You,193716
2022-03-26 17:21,Edward Sharpe & The Magnetic Zeros,Man On Fire,259080
2022-03-26 17:24,THE ANXIETY,Meet Me At Our Spot,162680
2022-03-26 17:26,San Lucia,Space & Time,109947
2022-03-26 17:29,Grouplove,Inside Out,208000
2022-03-26 17:33,BETWEEN FRIENDS,affection,235225
2022-03-26 17:36,JAWNY,Best Thing,156706
2022-03-26 17:39,Beachwood Coyotes,Cuffing Season,199966
2022-03-26 17:43,Harry Styles,Golden,208906
2022-03-26 17:46,Hazel English,Shaking,213297
2022-03-26 17:49,The Beaches,Let's Go,142760
2022-03-26 17:50,Lonely God,Marlboro Nights,68522
2022-03-26 17:56,Tame Impala,Breathe Deeper,372866
2022-03-26 18:00,Peach Pit,Black Licorice,219826
2022-03-26 18:02,Beach Bunny,Cloud 9 (feat. Tegan and Sara),148207
2022-03-26 18:06,MGMT,In The Afternoon,226253
2022-03-26 18:11,Joji,Run,12956
2022-03-26 18:11,Blood Cultures,Flowers for All Occasions,294990
2022-03-26 18:11,Harry Styles,Adore You,19140
2022-03-26 18:14,Pharrell Williams,Just a Cloud Away,176078
2022-03-26 18:17,Patrick Watson,Je te laisserai des mots,160853
2022-03-26 18:17,Two Feet,Go Fuck Yourself,4353
2022-03-26 18:21,THE DRIVER ERA,Low,210445
2022-03-26 18:24,AJR,Burn The House Down,212373
2022-03-26 18:26,DMAD,World Is Spinning,130168
2022-03-26 18:29,alt-J,Left Hand Free,173630
2022-03-26 18:32,Sammy Adams,All Night Longer,177093
2022-03-26 18:35,Still Woozy,Goodie Bag,146390
2022-03-26 18:37,Aminé,Spice Girl,173946
2022-03-26 18:40,Bazzi,Myself,167552
2022-03-26 18:44,BROCKHAMPTON,1999 WILDFIRE,251250
2022-03-26 18:49,Requiem Inc.,SPF10,255059
2022-03-26 18:54,Childish Gambino,Redbone,326933
2022-03-26 19:48,Childish Gambino,Les,88192
2022-03-26 19:48,Childish Gambino,I.Crawl,3413
2022-03-26 19:51,Childish Gambino,IV. Sweatpants,180675
2022-03-26 19:54,Glass Animals,Dreamland,203492
2022-03-26 19:57,Childish Gambino,II. Worldstar,188922
2022-03-26 19:58,Childish Gambino,Bonfire,4713
2022-03-26 19:58,Frank Sinatra,Dream - Remastered,20387
2022-03-26 23:44,Beyoncé,Partition,5410
2022-03-26 23:48,The Shins,Australia,236711
2022-03-26 23:52,Miike Snow,Black & Blue,219733
2022-03-26 23:56,Edward Sharpe & The Magnetic Zeros,Lullaby,235973
2022-03-27 00:01,Edward Sharpe & The Magnetic Zeros,The Ballad of Yaya,297413
2022-03-27 00:05,Passion Pit,Take a Walk,264493
2022-03-27 00:09,Dr. Dog,That Old Black Hole,201080
2022-03-27 00:12,Bleachers,I Wanna Get Better,204520
2022-03-27 00:16,Edward Sharpe & The Magnetic Zeros,That's What's Up,232146
2022-03-27 00:19,Matt and Kim,Daylight,171333
2022-03-27 00:22,alt-J,Left Hand Free,173630
